




32 2 218.200000000000 255.200000000000 94.100000000000 71.400000000000 12.400000000000 24.000000000000        1


65536 4096 218.200000000000 255.400000000000 89.700000000000 74.000000000000 5.100000000000 25.000000000000        1
65536 8192 218.200000000000 261.700000000000 92.925000000000 74.025000000000 9.350000000000 22.875000000000 0 9.914299437344 1.950000000000 .618465843842 8.301204731844 3.639024594585  4
65536 16384 225.271428571428 264.142857142857 100.028571428571 76.257142857142 19.185714285714 21.828571428571 4.830705361095 8.596677098906 4.479104927592 1.466125441264 7.092819977843 3.153154127596  7
65536 32768 229.015384615384 269.100000000000 100.507692307692 76.100000000000 17.976923076923 21.561538461538 7.723216747125 9.100824138505 6.011026193374 1.063014581273 9.411797016347 3.428201292596  13
65536 65536 232.982142857142 273.610714285714 102.117857142857 76.850000000000 18.146428571428 21.578571428571 7.089901716470 6.925494462128 5.550712571635 1.844410976938 9.806365360687 3.239496662189  28

131072 1 238.500000000000 276.700000000000 91.100000000000 74.900000000000 8.500000000000 22.950000000000 0 0 0 .141421356237 8.485281374238 4.313351365237  2
131072 2 218.200000000000 273.950000000000 92.400000000000 74.750000000000 3.700000000000 24.800000000000 0 26.092240225783 .707106781186 1.626345596729 2.828427124746 3.252691193458  2
131072 16 218.200000000000 255.500000000000 89.400000000000 76.100000000000 18.100000000000 24.600000000000        1
131072 64 228.100000000000 255.300000000000 90.200000000000 74.000000000000 13.100000000000 23.000000000000        1
131072 128 218.200000000000 258.500000000000 90.800000000000 73.800000000000 15.000000000000 16.800000000000        1
131072 256 218.200000000000 255.500000000000 96.500000000000 74.800000000000 27.200000000000 21.300000000000        1
131072 512 218.200000000000 266.966666666666 88.566666666666 74.433333333333 20.100000000000 22.466666666666 0 13.040833306707 1.973153144926 1.625833119767 3.843175770115 2.900574655707  3
131072 1024 222.160000000000 269.760000000000 96.660000000000 76.480000000000 19.040000000000 20.600000000000 5.422453319301 10.091729286896 6.921199318037 1.645296325893 10.240507799909 1.653783540854  5
131072 2048 228.100000000000 273.500000000000 92.300000000000 74.500000000000 9.900000000000 23.600000000000        1
131072 4096 218.200000000000 255.500000000000 92.700000000000 73.200000000000 14.700000000000 20.400000000000 0 .141421356237 1.131370849898 .989949493661 6.505382386916 1.838477631085  2
131072 8192 228.100000000000 266.933333333333 94.600000000000 74.666666666666 10.533333333333 24.733333333333 0 10.552882702528 2.551470164434 1.582192571507 3.635014901390 6.079747801786  3
131072 16384 221.028571428571 265.671428571428 97.671428571428 76.857142857142 15.585714285714 21.085714285714 4.830705361095 9.945973102335 7.750422415523 .886673827396 6.897204402613 2.152849717179  7
131072 32768 229.692857142857 268.685714285714 100.721428571428 76.371428571428 22.157142857142 21.364285714285 7.841258168835 8.598198124549 7.313126088535 1.671677449302 6.881381154492 3.178680699442  14
131072 65536 229.639285714285 272.667857142857 102.367857142857 76.692857142857 18.310714285714 21.457142857142 6.039397767726 8.076626247040 4.178787133219 1.560134982628 6.684938254830 3.370067432167  28
